OMIM_ID	DO_ID
OMIM:200610	DOID:0080056
OMIM:200700	DOID:0080052
OMIM:200950	DOID:655
OMIM:200990	DOID:9250
OMIM:201000	DOID:0060234
OMIM:201100	DOID:0050605
OMIM:201250	DOID:0080051
OMIM:201300	DOID:0050548
OMIM:201400	DOID:28
OMIM:201450	DOID:3146
OMIM:201470	DOID:3146
OMIM:201475	DOID:3146
OMIM:201710	DOID:0050811
OMIM:201750	DOID:0050462
OMIM:201810	DOID:0050811
OMIM:201910	DOID:0050811
OMIM:202010	DOID:0050811
OMIM:202110	DOID:0050811
OMIM:202200	DOID:1701
OMIM:202300	DOID:3948
OMIM:202370	DOID:10588
OMIM:202400	DOID:2236
OMIM:202650	DOID:0060341
OMIM:202700	DOID:0050590
OMIM:203100	DOID:0050632
OMIM:203200	DOID:0050632
OMIM:203290	DOID:0050632
OMIM:203300	DOID:3753
OMIM:203400	DOID:9553
OMIM:203450	DOID:4252
OMIM:203500	DOID:9270
OMIM:203655	DOID:0050634
OMIM:203700	DOID:1442
OMIM:203740	DOID:9252
OMIM:203750	DOID:14723
OMIM:203780	DOID:10983
OMIM:203800	DOID:0050473
OMIM:204000	DOID:14791
OMIM:204100	DOID:14791
OMIM:204200	DOID:14503
OMIM:204300	DOID:14503
OMIM:204500	DOID:14503
OMIM:204650	DOID:2187
OMIM:204690	DOID:2187
OMIM:204700	DOID:2187
OMIM:204870	DOID:12318
OMIM:205100	DOID:0060194
OMIM:205400	DOID:1388
OMIM:205950	DOID:0060065
OMIM:206100	DOID:0050642
OMIM:206200	DOID:11252
OMIM:206700	DOID:1059
OMIM:206800	DOID:0050643
OMIM:206900	DOID:10629
OMIM:206920	DOID:9258
OMIM:207410	DOID:0050462
OMIM:207750	DOID:14118
OMIM:207800	DOID:9278
OMIM:207900	DOID:14755
OMIM:208000	DOID:0050644
OMIM:208050	DOID:0050645
OMIM:208085	DOID:0050763
OMIM:208150	DOID:381
OMIM:208230	DOID:14286
OMIM:208250	DOID:14286
OMIM:208400	DOID:0050461
OMIM:208530	DOID:1682
OMIM:208540	DOID:0060259
OMIM:208550	DOID:2841
OMIM:208900	DOID:12704
OMIM:208920	DOID:4090
OMIM:209300	DOID:0050649
OMIM:209500	DOID:987
OMIM:209880	DOID:9220
OMIM:209900	DOID:1935
OMIM:209920	DOID:5812
OMIM:209950	DOID:104
OMIM:210200	DOID:0050710
OMIM:210210	DOID:0050710
OMIM:210250	DOID:5295
OMIM:210370	DOID:0050664
OMIM:210600	DOID:0050569
OMIM:210710	DOID:10907
OMIM:210720	DOID:10907
OMIM:210750	DOID:3156
OMIM:210900	DOID:2717
OMIM:211180	DOID:0050684
OMIM:211400	DOID:9563
OMIM:211500	DOID:681
OMIM:211530	DOID:0050694
OMIM:211600	DOID:1852
OMIM:211750	DOID:2340
OMIM:211800	DOID:182
OMIM:211900	DOID:182
OMIM:211980	DOID:1324
OMIM:212050	DOID:2058
OMIM:212065	DOID:0050570
OMIM:212066	DOID:0050571
OMIM:212070	DOID:9252
OMIM:212112	DOID:12930
OMIM:212138	DOID:3146
OMIM:212140	DOID:14365
OMIM:212350	DOID:0050700
OMIM:212550	DOID:10629
OMIM:212720	DOID:1924
OMIM:212750	DOID:10608
OMIM:212780	DOID:11193
OMIM:212840	DOID:1924
OMIM:213300	DOID:0050777
OMIM:213600	DOID:0060230
OMIM:213700	DOID:4810
OMIM:213980	DOID:1059
OMIM:214100	DOID:905
OMIM:214150	DOID:2962
OMIM:214300	DOID:10426
OMIM:214400	DOID:0050541
OMIM:214450	DOID:10003
OMIM:214500	DOID:2935
OMIM:214700	DOID:0060296
OMIM:214800	DOID:0050834
OMIM:214950	DOID:0050674
OMIM:215045	DOID:206
OMIM:215100	DOID:2580
OMIM:215140	DOID:12721
OMIM:215150	DOID:0080026
OMIM:215300	DOID:3371
OMIM:215470	DOID:1924
OMIM:215600	DOID:5082
OMIM:215700	DOID:9273
OMIM:216340	DOID:13994
OMIM:216360	DOID:13580
OMIM:216400	DOID:2962
OMIM:216550	DOID:1059
OMIM:216820	DOID:12270
OMIM:216900	DOID:13911
OMIM:217000	DOID:0060295
OMIM:217080	DOID:420
OMIM:217085	DOID:1682
OMIM:217090	DOID:6195
OMIM:217095	DOID:6406
OMIM:217300	DOID:0060287
OMIM:217400	DOID:12318
OMIM:217700	DOID:11555
OMIM:217800	DOID:2565
OMIM:218000	DOID:574
OMIM:218040	DOID:0050469
OMIM:218330	DOID:0050577
OMIM:218340	DOID:12270
OMIM:218400	DOID:0080033
OMIM:218600	DOID:0050654
OMIM:218700	DOID:0050328
OMIM:218800	DOID:3803
OMIM:219000	DOID:5614
OMIM:219050	DOID:11383
OMIM:219080	DOID:12252
OMIM:219090	DOID:7004
OMIM:219100	DOID:3144
OMIM:219150	DOID:3144
OMIM:219200	DOID:3144
OMIM:219700	DOID:1485
OMIM:219730	DOID:10908
OMIM:219750	DOID:1064
OMIM:219800	DOID:1064
OMIM:219900	DOID:1064
OMIM:220100	DOID:9266
OMIM:220110	DOID:3762
OMIM:220111	DOID:3652
OMIM:220150	DOID:447
OMIM:220210	DOID:2785
OMIM:220290	DOID:0050565
OMIM:220400	DOID:2842
OMIM:220500	DOID:10003
OMIM:220600	DOID:10003
OMIM:221750	DOID:9406
OMIM:221770	DOID:811
OMIM:221820	DOID:936
OMIM:221900	DOID:0060282
OMIM:222100	DOID:9744
OMIM:222300	DOID:10632
OMIM:222448	DOID:10003
OMIM:222470	DOID:421
OMIM:222600	DOID:14687
OMIM:222700	DOID:9252
OMIM:222730	DOID:1059
OMIM:222748	DOID:655
OMIM:222765	DOID:2580
OMIM:222900	DOID:2978
OMIM:223000	DOID:2978
OMIM:223100	DOID:10604
OMIM:223360	DOID:863
OMIM:223800	DOID:1059
OMIM:223900	DOID:11589
OMIM:224050	DOID:1059
OMIM:224100	DOID:1338
OMIM:224120	DOID:1338
OMIM:224230	DOID:2729
OMIM:224410	DOID:28
OMIM:224690	DOID:0060306
OMIM:224750	DOID:0050591
OMIM:224900	DOID:14793
OMIM:225200	DOID:238
OMIM:225250	DOID:0050328
OMIM:225280	DOID:14693
OMIM:225300	DOID:17
OMIM:225320	DOID:13359
OMIM:225400	DOID:13359
OMIM:225410	DOID:13359
OMIM:225500	DOID:12714
OMIM:225750	DOID:0050629
OMIM:225753	DOID:0060273
OMIM:225790	DOID:4626
OMIM:226200	DOID:655
OMIM:226400	DOID:13777
OMIM:226600	DOID:4959
OMIM:226650	DOID:3209
OMIM:226670	DOID:4644
OMIM:226700	DOID:3209
OMIM:226730	DOID:14693
OMIM:226750	DOID:2187
OMIM:226900	DOID:12721
OMIM:226980	DOID:9744
OMIM:227240	DOID:3156
OMIM:227260	DOID:2120
OMIM:227300	DOID:2216
OMIM:227400	DOID:2216
OMIM:227500	DOID:2215
OMIM:227645	DOID:13636
OMIM:227646	DOID:13636
OMIM:227650	DOID:13636
OMIM:227810	DOID:1062
OMIM:228000	DOID:0050464
OMIM:228300	DOID:5003
OMIM:228550	DOID:3355
OMIM:228600	DOID:37
OMIM:228900	DOID:0050790
OMIM:228930	DOID:17
OMIM:228960	DOID:1247
OMIM:228980	DOID:5679
OMIM:229050	DOID:5295
OMIM:229070	DOID:14228
OMIM:229100	DOID:655
OMIM:229200	DOID:14775
OMIM:229300	DOID:12705
OMIM:229600	DOID:9869
OMIM:229700	DOID:5204
OMIM:230000	DOID:14500
OMIM:230200	DOID:14695
