Ensembl_Gene_ID	Disease_ID	In_PhenoRank_Benchmarking
ENSG00000080815	OMIM:600274	TRUE
ENSG00000080815	OMIM:607822	TRUE
ENSG00000080815	OMIM:613694	FALSE
ENSG00000080815	OMIM:613737	FALSE
ENSG00000080819	OMIM:121300	TRUE
ENSG00000081014	OMIM:184450	TRUE
ENSG00000081014	OMIM:613744	FALSE
ENSG00000081051	OMIM:615969	FALSE
ENSG00000081051	OMIM:615970	FALSE
ENSG00000081052	OMIM:141200	TRUE
ENSG00000081052	OMIM:203780	TRUE
ENSG00000081087	OMIM:259720	TRUE
ENSG00000081148	OMIM:613581	FALSE
ENSG00000081148	OMIM:616152	FALSE
ENSG00000081189	OMIM:613443	FALSE
ENSG00000081248	OMIM:170400	TRUE
ENSG00000081248	OMIM:188580	TRUE
ENSG00000081248	OMIM:601887	TRUE
ENSG00000081277	OMIM:604536	TRUE
ENSG00000081307	OMIM:617132	FALSE
ENSG00000081307	OMIM:617133	FALSE
ENSG00000081479	OMIM:222448	TRUE
ENSG00000081923	OMIM:147480	TRUE
ENSG00000081923	OMIM:211600	TRUE
ENSG00000081923	OMIM:243300	TRUE
ENSG00000082458	OMIM:300850	FALSE
ENSG00000083093	OMIM:114480	TRUE
ENSG00000083093	OMIM:610832	FALSE
ENSG00000083093	OMIM:613348	FALSE
ENSG00000083093	OMIM:614327	FALSE
